Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
2.77,0.159,0.154,2.96E-18,,7.90E-18,
2.78,0.296,0.292,1.68E-17,,3.75E-17,
2.76,0.026,0.002,,,,
2.83,0.320,0.316,1.84E-16,,2.26E-16,
3.08,0.061,0.064,7.36E-16,8.88E-17,4.38E-15,
3.08,0.135,0.125,1.39E-15,1.26E-15,1.75E-15,
3.14,0.293,0.286,5.14E-14,6.76E-13,4.00E-14,
2.97,0.414,0.396,7.50E-12,3.01E-13,7.50E-12,
3.07,0.395,0.392,,,1.13E-11,
3.03,,0.367,8.61E-15,1.18E-16,8.75E-14,
,,0.000,,,,
2.62,0.285,0.253,2.34E-13,,2.51E-13,
2.64,0.258,0.236,2.38E-14,1.10E-14,2.66E-14,
2.70,0.481,0.456,1.77E-12,5.86E-13,1.87E-12,
3.08,0.141,0.139,9.11E-14,9.84E-15,1.37E-13,
3.07,0.313,0.310,6.99E-15,,1.14E-14,
2.67,0.463,0.456,2.96E-12,,2.96E-12,
2.71,0.492,0.476,2.09E-12,,2.53E-12,
2.68,0.388,0.384,7.18E-13,1.53E-13,8.01E-13,
2.66,0.469,0.453,2.77E-12,,2.82E-12,
3.07,0.396,0.394,,4.85E-12,3.71E-11,
3.01,0.276,0.274,5.70E-13,,6.03E-13,
2.77,0.453,0.442,1.03E-14,,1.15E-14,
2.96,0.236,0.235,1.52E-15,,1.56E-15,
2.98,0.255,0.252,2.19E-15,,2.94E-15,
3.02,0.318,0.317,9.41E-14,5.28E-14,1.17E-13,
3.04,0.330,0.298,2.43E-16,,4.04E-16,
3.04,0.320,0.297,1.88E-16,,2.34E-16,
2.98,0.241,0.240,7.21E-17,,9.87E-17,
2.74,0.470,0.400,1.01E-12,,1.05E-12,
2.75,0.420,0.415,1.39E-12,,1.48E-12,
2.79,0.283,0.282,1.26E-13,,1.41E-13,
2.98,0.197,0.158,5.92E-18,,1.12E-17,
3.06,,0.122,2.40E-15,,3.76E-15,
3.06,,0.128,5.15E-15,,7.81E-15,1.61
3.06,,0.127,4.39E-16,,7.41E-16,1.34
3.06,,0.129,8.32E-15,,1.23E-14,1.46
